sector,ocupacion,nivel_educ,Hombre,Mujer,brecha_pct
Servicios diversos,Actividades agrícolas,Sin instrucción,37.5,40.0,-6.7
Servicios diversos,Actividades agrícolas,Superior,50.0,52.08333,-4.2
Servicios diversos,Comerciantes y vendedores,Básica,37.5,48.4375,-29.2
Servicios diversos,Comerciantes y vendedores,Media superior,52.08333,42.295114999999996,18.8
Servicios diversos,Comerciantes y vendedores,No especificado,49.87805,,
Servicios diversos,Comerciantes y vendedores,Sin instrucción,34.313725,31.201549999999997,9.1
Servicios diversos,Comerciantes y vendedores,Superior,50.0,46.51163,7.0
Servicios diversos,Funcionarios y directivos,Básica,100.0,63.858695,36.1
Servicios diversos,Funcionarios y directivos,Media superior,83.33333,65.90909,20.9
Servicios diversos,Funcionarios y directivos,No especificado,47.24947,75.5814,-60.0
Servicios diversos,Funcionarios y directivos,Sin instrucción,83.33333,89.28571,-7.1
Servicios diversos,Funcionarios y directivos,Superior,83.33333,77.51938,7.0
Servicios diversos,Industria extractiva y construcción,Básica,37.5,95.0,-153.3
Servicios diversos,Industria extractiva y construcción,Media superior,41.66667,31.00775,25.6
Servicios diversos,Industria extractiva y construcción,Sin instrucción,66.96428499999999,33.33333,50.2
Servicios diversos,Industria extractiva y construcción,Superior,56.182535,45.750280000000004,18.6
Servicios diversos,Operadores de maquinaria,Básica,45.833335000000005,,
Servicios diversos,Operadores de maquinaria,Media superior,50.0,38.75969,22.5
Servicios diversos,Operadores de maquinaria,Sin instrucción,41.66667,33.33333,20.0
Servicios diversos,Operadores de maquinaria,Superior,57.58583,42.32809,26.5
Servicios diversos,Otras ocupaciones,Media superior,51.67959,17.85714,65.4
Servicios diversos,Otras ocupaciones,No especificado,52.08333,,
Servicios diversos,Otras ocupaciones,Superior,55.55556,71.42857,-28.6
Servicios diversos,Profesionistas y técnicos,Básica,53.47222,46.51163,13.0
Servicios diversos,Profesionistas y técnicos,Media superior,49.224805,55.625,-13.0
Servicios diversos,Profesionistas y técnicos,Superior,58.13953,74.4186,-28.0
Servicios diversos,Servicios personales,Básica,58.33333,,
Servicios diversos,Servicios personales,Media superior,56.847545,,
Servicios diversos,Servicios personales,No especificado,50.0,,
Servicios diversos,Servicios personales,Sin instrucción,67.71428499999999,,
Servicios diversos,Servicios personales,Superior,49.83389,65.21739,-30.9
Servicios diversos,Trabajadores de la educación,Básica,60.0,22.09302,63.2
Servicios diversos,Trabajadores de la educación,Media superior,79.166665,55.55556,29.8
Servicios diversos,Trabajadores de la educación,Sin instrucción,103.333335,18.51852,82.1
Servicios diversos,Trabajadores de la educación,Superior,83.33333,79.16873,5.0
Servicios diversos,Trabajadores del arte,Básica,46.51163,43.75,5.9
Servicios diversos,Trabajadores del arte,Media superior,46.2963,44.72222,3.4
Servicios diversos,Trabajadores del arte,No especificado,,58.392314999999996,
Servicios diversos,Trabajadores del arte,Sin instrucción,35.89744,37.5,-4.5
Servicios diversos,Trabajadores del arte,Superior,61.531005,50.0,18.7
Servicios financieros y profesionales,Actividades administrativas,Básica,55.0,50.0,9.1
Servicios financieros y profesionales,Actividades administrativas,Media superior,60.0,43.60465,27.3
Servicios financieros y profesionales,Actividades administrativas,No especificado,,20.55648,
Servicios financieros y profesionales,Actividades administrativas,Sin instrucción,65.24823,47.5,27.2
Servicios financieros y profesionales,Actividades administrativas,Superior,62.5,58.13953,7.0
