anio,sector,ocupacion,nivel_educ,sexo,poblacion_ocupada,media_ing_hora,mediana_ing_hora
2005,Comercio,Trabajadores del arte,Media superior,Hombre,445368,20.31,16.67
2005,Comercio,Trabajadores del arte,Media superior,Mujer,518090,18.86,16.0
2005,Comercio,Trabajadores del arte,No especificado,Hombre,187,15.67,15.29393
2005,Comercio,Trabajadores del arte,No especificado,Mujer,172,16.52,17.237295
2005,Comercio,Trabajadores del arte,Sin instrucción,Hombre,46377,18.1,15.0
2005,Comercio,Trabajadores del arte,Sin instrucción,Mujer,11213,17.51,15.5
2005,Comercio,Trabajadores del arte,Superior,Hombre,475396,31.7,23.26
2005,Comercio,Trabajadores del arte,Superior,Mujer,511463,26.64,17.5
2005,Construcción,Actividades administrativas,Básica,Hombre,3638873,21.06,17.78
2005,Construcción,Actividades administrativas,Básica,Mujer,13197,17.69,14.0
2005,Construcción,Actividades administrativas,Media superior,Hombre,2705466,21.77,17.78
2005,Construcción,Actividades administrativas,Media superior,Mujer,7573,16.29,15.56
2005,Construcción,Actividades administrativas,No especificado,Hombre,10503,23.81,20.37
2005,Construcción,Actividades administrativas,Sin instrucción,Hombre,3258449,20.61,17.62
2005,Construcción,Actividades administrativas,Sin instrucción,Mujer,5522,12.98,14.520205
2005,Construcción,Actividades administrativas,Superior,Hombre,679427,30.78,21.82
2005,Construcción,Actividades administrativas,Superior,Mujer,10052,89.76,46.51
2005,Construcción,Actividades agrícolas,Básica,Hombre,12177,19.19,14.81
2005,Construcción,Actividades agrícolas,Básica,Mujer,14001,19.23,17.05
2005,Construcción,Actividades agrícolas,Media superior,Hombre,11839,16.36,15.22
2005,Construcción,Actividades agrícolas,Media superior,Mujer,8680,16.81,17.39
2005,Construcción,Actividades agrícolas,No especificado,Hombre,69,18.28,18.27907
2005,Construcción,Actividades agrícolas,No especificado,Mujer,87,19.32,19.31818
2005,Construcción,Actividades agrícolas,Sin instrucción,Hombre,11959,15.83,15.22
2005,Construcción,Actividades agrícolas,Sin instrucción,Mujer,10385,16.07,15.56
2005,Construcción,Actividades agrícolas,Superior,Hombre,1550,26.95,25.0
2005,Construcción,Actividades agrícolas,Superior,Mujer,285,28.62,26.31579
2005,Construcción,Comerciantes y vendedores,Básica,Hombre,2063,35.22,28.88889
2005,Construcción,Comerciantes y vendedores,Básica,Mujer,1373,35.58,23.25581
2005,Construcción,Comerciantes y vendedores,Media superior,Hombre,6643,23.5,23.85212
2005,Construcción,Comerciantes y vendedores,Media superior,Mujer,6361,45.76,34.2
2005,Construcción,Comerciantes y vendedores,Sin instrucción,Hombre,1513,24.38,20.0
2005,Construcción,Comerciantes y vendedores,Sin instrucción,Mujer,1257,16.67,16.66667
2005,Construcción,Comerciantes y vendedores,Superior,Hombre,16388,102.66,49.53
2005,Construcción,Comerciantes y vendedores,Superior,Mujer,11631,53.25,45.22
2005,Construcción,Funcionarios y directivos,Básica,Hombre,16389,24.46,20.45
2005,Construcción,Funcionarios y directivos,Básica,Mujer,759,24.56,27.513505000000002
2005,Construcción,Funcionarios y directivos,Media superior,Hombre,44069,27.66,23.26
2005,Construcción,Funcionarios y directivos,Media superior,Mujer,8025,28.34,25.0
2005,Construcción,Funcionarios y directivos,No especificado,Hombre,103,18.75,18.75
2005,Construcción,Funcionarios y directivos,Sin instrucción,Hombre,7320,18.76,17.78
2005,Construcción,Funcionarios y directivos,Superior,Hombre,238133,53.79,41.53
2005,Construcción,Funcionarios y directivos,Superior,Mujer,46995,46.72,38.76
2005,Construcción,Industria extractiva y construcción,Básica,Hombre,15143,11.92,11.67
2005,Construcción,Industria extractiva y construcción,Básica,Mujer,417,91.72,60.795455
2005,Construcción,Industria extractiva y construcción,Media superior,Hombre,5365,12.67,10.98
2005,Construcción,Industria extractiva y construcción,Sin instrucción,Hombre,42976,12.85,9.72
2005,Construcción,Industria extractiva y construcción,Sin instrucción,Mujer,104,7.14,7.14286
2005,Construcción,Industria extractiva y construcción,Superior,Hombre,3495,13.23,12.273905
2005,Construcción,Operadores de maquinaria,Básica,Hombre,1075,8.12,10.36176
2005,Construcción,Operadores de maquinaria,Media superior,Hombre,198,21.99,20.462965
2005,Construcción,Operadores de maquinaria,Sin instrucción,Hombre,125,15.64,15.0
2005,Construcción,Operadores de maquinaria,Superior,Hombre,517,35.24,35.23608
2005,Construcción,Profesionistas y técnicos,Básica,Hombre,3232,19.63,21.42857
2005,Construcción,Profesionistas y técnicos,Media superior,Hombre,33,17.78,17.77778
2005,Construcción,Profesionistas y técnicos,Sin instrucción,Hombre,83,41.67,41.66667
2005,Construcción,Profesionistas y técnicos,Superior,Hombre,631,14.0,14.0
2005,Construcción,Servicios personales,Básica,Hombre,84218,23.32,20.83
2005,Construcción,Servicios personales,Básica,Mujer,875,19.38,19.37984
2005,Construcción,Servicios personales,Media superior,Hombre,82432,24.37,21.14
2005,Construcción,Servicios personales,Media superior,Mujer,137,20.83,20.83333
2005,Construcción,Servicios personales,No especificado,Hombre,858,13.69,14.03509
2005,Construcción,Servicios personales,Sin instrucción,Hombre,55778,25.52,20.0
2005,Construcción,Servicios personales,Superior,Hombre,25243,22.99,20.0
2005,Construcción,Trabajadores de la educación,Básica,Hombre,1572,69.62,48.80197
2005,Construcción,Trabajadores de la educación,Básica,Mujer,2200,89.33,96.89922
2005,Construcción,Trabajadores de la educación,Media superior,Hombre,3950,54.85,45.45455
2005,Construcción,Trabajadores de la educación,Media superior,Mujer,2608,44.66,40.44489
2005,Construcción,Trabajadores de la educación,No especificado,Hombre,43,30.15,30.14643
2005,Construcción,Trabajadores de la educación,Sin instrucción,Hombre,117,66.67,66.66667
2005,Construcción,Trabajadores de la educación,Sin instrucción,Mujer,712,88.39,62.569215
2005,Construcción,Trabajadores de la educación,Superior,Hombre,63673,124.41,82.69
2005,Construcción,Trabajadores de la educación,Superior,Mujer,16259,75.13,63.42
2005,Construcción,Trabajadores del arte,Básica,Hombre,18741,26.4,20.67
2005,Construcción,Trabajadores del arte,Básica,Mujer,8252,18.56,17.0
2005,Construcción,Trabajadores del arte,Media superior,Hombre,29821,25.48,18.6
2005,Construcción,Trabajadores del arte,Media superior,Mujer,70738,22.15,20.45
2005,Construcción,Trabajadores del arte,Sin instrucción,Hombre,6335,78.54,16.530054999999997
2005,Construcción,Trabajadores del arte,Sin instrucción,Mujer,387,20.03,19.37984
2005,Construcción,Trabajadores del arte,Superior,Hombre,56747,41.45,25.84
2005,Construcción,Trabajadores del arte,Superior,Mujer,58454,30.3,24.22
2005,Gobierno,Actividades administrativas,Básica,Hombre,108451,19.24,16.67
2005,Gobierno,Actividades administrativas,Básica,Mujer,10585,13.97,13.95
2005,Gobierno,Actividades administrativas,Media superior,Hombre,127205,21.69,19.38
2005,Gobierno,Actividades administrativas,Media superior,Mujer,10714,20.47,17.23
2005,Gobierno,Actividades administrativas,No especificado,Hombre,1825,15.33,23.25581
2005,Gobierno,Actividades administrativas,Sin instrucción,Hombre,68338,18.24,16.67
2005,Gobierno,Actividades administrativas,Sin instrucción,Mujer,10782,13.85,12.68
2005,Gobierno,Actividades administrativas,Superior,Hombre,93201,31.77,26.67
2005,Gobierno,Actividades administrativas,Superior,Mujer,4194,41.84,43.6
2005,Gobierno,Actividades agrícolas,Básica,Hombre,127607,18.58,16.54
2005,Gobierno,Actividades agrícolas,Básica,Mujer,61899,17.58,15.12
2005,Gobierno,Actividades agrícolas,Media superior,Hombre,114842,16.85,14.77
2005,Gobierno,Actividades agrícolas,Media superior,Mujer,39300,18.18,14.62
2005,Gobierno,Actividades agrícolas,Sin instrucción,Hombre,173543,14.22,12.79
2005,Gobierno,Actividades agrícolas,Sin instrucción,Mujer,65964,14.3,12.79
2005,Gobierno,Actividades agrícolas,Superior,Hombre,31911,21.17,17.44
2005,Gobierno,Actividades agrícolas,Superior,Mujer,8584,20.16,16.28
2005,Gobierno,Comerciantes y vendedores,Básica,Hombre,3421,16.88,15.664739999999998
2005,Gobierno,Comerciantes y vendedores,Básica,Mujer,628,16.33,16.0
2005,Gobierno,Comerciantes y vendedores,Media superior,Hombre,5820,26.22,17.5
2005,Gobierno,Comerciantes y vendedores,Media superior,Mujer,1877,23.69,18.023255
2005,Gobierno,Comerciantes y vendedores,Sin instrucción,Hombre,3946,14.32,12.131785
2005,Gobierno,Comerciantes y vendedores,Sin instrucción,Mujer,720,12.83,9.91602
2005,Gobierno,Comerciantes y vendedores,Superior,Hombre,5788,30.12,24.22
2005,Gobierno,Comerciantes y vendedores,Superior,Mujer,1415,30.98,25.5814
2005,Gobierno,Funcionarios y directivos,Básica,Hombre,19571,29.79,23.26
2005,Gobierno,Funcionarios y directivos,Básica,Mujer,6606,23.61,19.77
2005,Gobierno,Funcionarios y directivos,Media superior,Hombre,100327,28.03,24.94
2005,Gobierno,Funcionarios y directivos,Media superior,Mujer,70933,29.14,26.16
2005,Gobierno,Funcionarios y directivos,No especificado,Mujer,560,52.05,33.139534999999995
2005,Gobierno,Funcionarios y directivos,Sin instrucción,Hombre,2694,21.73,19.13398
2005,Gobierno,Funcionarios y directivos,Sin instrucción,Mujer,2628,8.96,7.945735000000001
2005,Gobierno,Funcionarios y directivos,Superior,Hombre,419686,48.31,37.71
2005,Gobierno,Funcionarios y directivos,Superior,Mujer,314882,49.94,37.21
2005,Gobierno,Industria extractiva y construcción,Básica,Hombre,195291,15.59,13.7
2005,Gobierno,Industria extractiva y construcción,Básica,Mujer,10586,16.15,12.92
2005,Gobierno,Industria extractiva y construcción,Media superior,Hombre,671001,18.74,16.15
2005,Gobierno,Industria extractiva y construcción,Media superior,Mujer,38672,21.4,18.17
2005,Gobierno,Industria extractiva y construcción,No especificado,Hombre,425,14.25,12.9199
2005,Gobierno,Industria extractiva y construcción,Sin instrucción,Hombre,74181,12.79,11.3
2005,Gobierno,Industria extractiva y construcción,Sin instrucción,Mujer,1792,16.25,13.066715
2005,Gobierno,Industria extractiva y construcción,Superior,Hombre,283440,24.79,20.16
2005,Gobierno,Industria extractiva y construcción,Superior,Mujer,27629,28.0,29.07
2005,Gobierno,Operadores de maquinaria,Básica,Hombre,4667,17.95,19.37984
2005,Gobierno,Operadores de maquinaria,Básica,Mujer,186,24.94,14.521004999999999
2005,Gobierno,Operadores de maquinaria,Media superior,Hombre,11063,14.95,12.4
2005,Gobierno,Operadores de maquinaria,Media superior,Mujer,388,20.54,20.93023
2005,Gobierno,Operadores de maquinaria,Sin instrucción,Hombre,5459,12.87,14.05039
2005,Gobierno,Operadores de maquinaria,Sin instrucción,Mujer,968,11.56,19.465115
2005,Gobierno,Operadores de maquinaria,Superior,Hombre,5078,61.25,38.759690000000006
2005,Gobierno,Operadores de maquinaria,Superior,Mujer,329,40.0,29.06977
2005,Gobierno,Profesionistas y técnicos,Básica,Hombre,2035,30.65,22.093020000000003
2005,Gobierno,Profesionistas y técnicos,Básica,Mujer,6381,22.93,23.26
2005,Gobierno,Profesionistas y técnicos,Media superior,Hombre,10290,27.01,22.09
2005,Gobierno,Profesionistas y técnicos,Media superior,Mujer,19990,38.16,25.58
2005,Gobierno,Profesionistas y técnicos,No especificado,Mujer,303,70.7,70.69767
2005,Gobierno,Profesionistas y técnicos,Sin instrucción,Mujer,284,22.87,23.25581
2005,Gobierno,Profesionistas y técnicos,Superior,Hombre,42487,52.78,40.7
2005,Gobierno,Profesionistas y técnicos,Superior,Mujer,46785,56.39,48.45
2005,Gobierno,Servicios personales,Básica,Hombre,71480,21.0,18.6
2005,Gobierno,Servicios personales,Básica,Mujer,280,23.26,23.25581
2005,Gobierno,Servicios personales,Media superior,Hombre,87616,22.92,21.14
2005,Gobierno,Servicios personales,Media superior,Mujer,167,21.32,21.31783
2005,Gobierno,Servicios personales,No especificado,Hombre,742,17.28,17.27575
2005,Gobierno,Servicios personales,Sin instrucción,Hombre,37399,17.65,16.28
2005,Gobierno,Servicios personales,Superior,Hombre,35705,24.06,17.44
2005,Gobierno,Servicios personales,Superior,Mujer,110,39.48,39.224805
